MAT.1.1	Sanqbof heu-aq, 
MAT.4.11	Khoerngae, naef sanqpaq, Yeqsur jawr-eu gar nae dov-ir-euq mae. Khoernar-aq, mqtav ghaqkhaer deuq oe-awr, aqyawf-anr ngaeqghae le-euq mae.
MAT.4.12	Yorhaq, kuv-anr bi nyaefur-euq garkawv Yeqsur yagaq ngae, Gaqliqlaer mirkhanq-anr le-euq mae. 
MAT.4.13	Khoernar-aq, Naqzaqlaer-anr nae dov-ir-awr, Zaqburloq hawr-eu Naqtaqlir mirkaq-anr lan landzer jav-eu Gaqbeqneqoq meuq-anr jawr-ir-euq mae. 
MAT.4.14	Garkawv khoer-aq, Miqyaer gharduq ngaeqdan-eu Irsaqyar nae aertaq-euq dawq heudawq byanlar-euq mae:
MAT.4.17	Khoerngae nae nar-aq, Yeqsur dawqmaeq maeqdanq bae-eu lafkhoer aer-eu, “Noeqpov noeqpar-awq. Aqjeq mirnae aernar-aq, mqtav mirkhanq keuvle taq-euq mae.”
MAT.4.18	Yeqsur, Gaqliqlaer lan landzer canluf ngae, Beqtuvluv laer kur-eu Sirmoq hawr-eu aqyawf-euq aqnyir Aqdaeqlaeq, aqnyafnmr, lan-euq lafkhoer za dzaeluf-eu gar ya’mawr-euq mae. Aqnyaf nmr-aq, ngaqshaq nyaef-eu tsawrhaq mae. 
MAT.4.19	Yeqsur, aqnyaf nmr-anr aernaeq-eu, “Ngaq-euq maeqnan cantae lar-awq. Ngar, nawnyaf-anr, ngaqshaq pov-eu lof-aer, tsawrhaq-anr pov-eu tsawrhaq bipyeuf ma.” 
MAT.4.20	Aqnyafnmr tiqpov taef-aer za byaerdzae yaf-awr, aqyawf-euq maeqnan cantae ghae-euq mae.
MAT.4.21	Khoergar nae maeqhu paw par irghae ngae, Zeqbeqdaer-euq zaqyo Yaqkov hawr-eu aqyawf-euq aqnyir Yorhaq-anr ya’mawr-euq mae. Aqnyaf nmr-aq, aqyawfnyaf nmr-euq aqda Zeqbeqdaer naeq-aer lawq-euq lafkhoer-euq za dofluf-eu mae. Khoerngae, Yeqsur, aqnyaf nmr-anr kur-euq mae. 
MAT.4.22	Aqyawf nyafnmr tiqpov taef-aer lawq-anr byaer-awr, aqda-anr ghawq-awr nae, Yeqsur-euq maeqnan cantae ghae-euq mae.
MAT.4.23	Yeqsur, Gaqliqlaer mirkhanq doeni cancan-aer, 
MAT.4.24	Aqyawf-euq garkawv Surliv mirkhanq-anr keuvni gaqdoe-ir-euq mae. Khoerngae, nargawr ghawqmya jeq nar-eu tsawrhaq, nargawr yawkhav-aer ya daqluf-eu tsawrhaq, naef ur-eu tsawrhaq, mawrbawq seu-eu tsawrhaq hawr-eu kuirshir lafshir shir-eu tsawrhaq dawqtawv luf-anr, aqcawq, Yeqsur jawr-eu gar sheuqlaf-awr, Yeqsur, aqyawf maf-anr lavtaq naeq-euq mae. 
MAT.4.25	Khoerngae, Gaqliqlaer mirkhanq, Deqgaqborlir mirkhanq, Yeqlursaqlaeq, Yurdav mirkhanq, Yawrdaq lawrbaq-euq nanrma dovkhaeq paw nae tsawrhaq armaf mafma tiq maf lar-awr, aqyawf-euq maeqnan cantae luf-eu mae.
MAT.5.1	Yeqsur, tsawrhaq armaf mafma-anr ya’mawr ngae, gawqjawq-anr davler-awr nuir-euq mae. Khoerngae, zaqlanr deuq, aqyawf jawr-eu gar lar-euq mae. 
MAT.5.2	Khoerngae, aqyawf, khaqmae mrnga-awr aqyawf maf-anr heulof-aer maeqnaeq tsovnaeq-euq mae:
MAT.5.3	“Saflar-euq lafkhoer irshaq shaq-eu tsawrhaq deuq-aq, guiqlanq huiq-eu mae. Aqjeq mirnae aernar-aq, mqtav mirkhanq-aq, aqyawf maf-euq mae.
MAT.5.4	“Ghawqshaq-aer ghae-eu tsawrhaq deuq-aq, guiqlanq huiq-eu mae. Aqjeq mirnae aernar-aq, aqyawf maf-anr bi noeqsarlar taef-a.
MAT.5.5	“Nuima nanqyuni ghae-eu tsawrhaq deuq-aq, guiqlanq huiq-eu mae. Aqjeq mirnae aernar-aq, mirtsaq-aq, aqyawf maf-anr of-eu jeqbir mae.
MAT.5.6	“Tsaq-awr dawr-eu jeq-anr maef-awr shuf-eu tsawrhaq deuq-aq, guiqlanq huiq-eu mae. Aqjeq mirnae aernar-aq, aqyawfmaf ya dzaqdaev ya dawrdaev taef-a.
MAT.5.7	“Aqcawq-anr ghawqshaq gaqnya-eu tsawrhaq deuq-aq, guiqlanq huiq-eu mae. Aqjeq mirnae aernar-aq, aqcawq, aqyawf maf-anr ghawqshaq gaqnaeq taef-a.
MAT.5.8	“Nuima shawrjaevni ghae-eu tsawrhaq deuq-aq, guiqlanq huiq-eu mae. Aqjeq mirnae aernar-aq, aqyawfmaf, Miqyaer-anr ya’mawr taef-a.
MAT.5.9	“Tsaqler dzoerlerni mr-eu tsawrhaq deuq-aq, guiqlanq huiq-eu mae. Aqjeq mirnae aernar-aq, aqyawf maf-anr Miqyaer-euq zaq laer kur taef-a.
MAT.5.10	“Tsaq-awr dawr-eu jeq-euq baqda’nae khaeq-awr khav-eu gar yadaq-eu tsawrhaq deuq-aq, guiqlanq huiq-eu mae. Aqjeq mirnae aernar-aq, mqtav mirkhanq-aq, aqyawf maf-euq mae.
MAT.5.11	“Ngar baqda’nae aqcawq, nawmaf-anr yaeqbawq-aer aerlar, nawmaf-anr khaeqlar khavlar, maqngeur-eu gar jaqmyawf myawf-eu lafkhoer nawmaf-anr ghawqmya jeq aerdoerlar ngae, nawmaf guiqlanq huiq-eu mae. 
MAT.5.12	Laqkhaq caer-awr lurgha caergha-awq. Aqjeq mirnae aernar-aq, mq-euq khoertav nawmaf-euq mrpoeq lafsawq ghawqmya’ni jav-eu mae. Nawmaf-euq maeqhu daefyaf-euq Miqyaer gharduq ngaeqdan-eu tsawrhaq deuq-anr khawf, aqcawq, aqyawf maf-anr khoerlof-aer khaeqnaeq khavnaeq-euq mae.
