MAT.1.1	Abraham sapa David sapa Jesu Khrista ahungshuwna puhpee lerii 
MAT.5.44	Changgechuw kii ninnhingna kerhiernaa, ninnuw ingeerhuma hechuw ninning minsiiruw ingkhejege ninnuw ingeecho ingeechii he rotumna hinnheru. 
MAT.5.45	Changgeniebe Thangven na aeong nimmapa sitihe ensuwh vangninte, ajiena ate inche atthamaa ingkhejege ettha taalina enie abesuw na, ingkhejege echumle echummaa taalina khuw aminsuwrna. 
MAT.5.46	Ajiina ate inche, ninnuw aning eminsii michuw ninning minsii tenube ajii mana nimphaphuw oumne? Khachana aakhum he rangge changchin ichiin tumaa he khang? 
MAT.5.47	Ingkhejege ninnuw ing ninguw ninnehe pang chuw berhiim tenuwche leentaang he ethiing ajii nintu lhaase? Jaat leentaang he rang ge changchin ichiin tumaa he khang? 
MAT.5.48	Changtaah nachin, Thangven na aeong nimmapa changrier hanghin ichiin ninnuwjeng changrier vang nintega.
MAT.6.1	“Ninnuw ing ninta dramho icher nong chuw mi ing mhuwresie tetenuwge emmhe koungna nintunama ing enriemruw; Changmaaniibe Thangven na aeong Nimmapa Thangnhang nhingtena nimphaphuw mana oummaa.
MAT.6.2	“Chang taana chin ninnuw ing daan nintule ettha embuning ate heching mi ing imimpaa heresie ente taana khuwngsang engkhejege lhampu na entu khangkhin ichiin toumpee toummaaruw. Atataa ing ninnhingna kieing kerhiernaa, emmeniebe emmana emphape. 
MAT.6.3	Chang gechuw ninnuw ing daan nintule ningkee tachang ing atu chuw ningkee tali ing minghuw maresii. 
MAT.6.4	Chang geniebe daan nintu chuw enruw ing nintu ensuwh niege enruw ing engeemhuw nimmapa Thangnhang ching ninnuw chuw mana ipe vate.
MAT.6.5	“Engkhejege ninnuw ing ninnhiele aettha embuning atehe tho enghaa maaruw, ajiena ate inche emmeniebe mi ing imhuw resii entetaana khuwngsang soungna engkhejege lhamkur bekhena niirhege inhie engeedii naa. Atataa in ninnhingna kie ing kerhiernaa, emmeniebe emmana emphape. 
MAT.6.6	Chang gechuw ninnuw ing ninnhiele adeen engkhe soungte lhuwruw engkhejege eenkhaar kamnuwng enruwhjeh ing aeong nimmapa nhingte ching hinnheruw; engkhejege enruwhjeh ing engeemhuw nimmapa chin ninnuw chuw mana ipe vate.
